id,text,created_at,like_count,retweet_count,lang,username
914278956936957957,"RT @AP: For some Puerto Ricans, Hurricane Maria is a reminder of 'second-class' status in America. https://t.co/W3NqrNJDUt",Sun Oct 01 00:01:04 +0000 2017,0,365,en,rizbut
914325557726384128,"RT @LOLGOP: Just another Puerto Rican who wants everything done for them, according to Trump. https://t.co/9QbyeLs35o",Sun Oct 01 03:06:14 +0000 2017,0,965,en,coricvstro
914325560934981633,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:06:15 +0000 2017,0,639,en,_13thofmay
914325574063214592,"RT @ramonashelburne: There are those who inexplicably don't believe how bad the crisis in Puerto Rico is. I hope they see this. 
https://t.…",Sun Oct 01 03:06:18 +0000 2017,0,158,en,TheNumbers_Guy
914325574444871681,"RT @jaketapper: 1/ More than 9 days after Hurricane Maria tore through the U.S. Virgin Islands, most of that US territory remains without p…",Sun Oct 01 03:06:18 +0000 2017,0,650,en,Leslie17Debbie
914325582728486912,RT @brontyman: 'As If Puerto Rico Did Not Exist.' Hurricane Maria Is a Reminder of 'Second-Class' Status for Some - TIME https://t.co/LFgsQ…,Sun Oct 01 03:06:20 +0000 2017,0,3,en,yayayarndiva
914325592450961418,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 03:06:23 +0000 2017,0,3525,en,Winking_Buddha
914325609278529536,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 03:06:27 +0000 2017,0,4585,en,MDMixx46
914325611396648960,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 03:06:27 +0000 2017,0,4585,en,ToniCarron
914325634066853889,RT @lilmamaqspice: @RogueSNRadvisor @MaverickofKain Own it @realDonaldTrump ‼️ #HurricaneMaria in #PuertoRico is your #TrumpsKatrina ‼️,Sun Oct 01 03:06:33 +0000 2017,0,8,en,TurquoiseBlue78
914325635484585984,"RT @cindyrelish: Every time we see this vulgar display of racism, bigotry and plain old bad behavior, I want to scream. Puerto Rico needs h…",Sun Oct 01 03:06:33 +0000 2017,0,7,en,MikeGre74566192
914325639016046593,"RT @tedlieu: Dear @POTUS: Before you golf, can you give the frickin order for massive  airlifts of food/water to Puerto Rico? Remember Berl…",Sun Oct 01 03:06:34 +0000 2017,0,7619,en,40Sara76
